REF. HESPERIA,cleaned
L.03.02,['bin']
L.03.11,['---śake']
L.03.12,"['---+baka', '+---']"
L.03.13,['---un---']
L.03.10,['---baś---']
L.03.03,['la']
L.03.06,['oś']
L.03.08,['tir']
L.15.01,['---ninar']
L.14.01,['kuleśuŕir']
L.09.01,"['', 'balkar', 'abilakus+istiŕ+lakea+banśako+ola', 'aiuniltiŕte', 'niŕ-ŕekoneśanśaiteaśakaibarbe', 'bal+kabaka']"
L.11.01,['ban']
HU.02.01,"['aloŕiltu-', 'i:belaśbais-', 'ereban:keltaŕ', 'erkerḿi:aḿe-', 'teikeoen:erḿ-', 'i']"
L.07.01,['suśtaŕtike']
L.07.04,['suise---']
L.07.02,[':kaśtaunbankuŕs']
HU.01.01,"['---tan:oŕkeikelaur:ekisiŕan:neitin---', '---śkeŕ:']"
HU.01.02,['---biloskeŕe+kieiki:beta++ki---']
L.00.01,"['', 'baśtúrerteŕokánutúr', 'iuństir', 'ikośarka:+--siko:en:śalir:biteian:bantuŕer---']"
B.01.06,['kiis']
L.18.01,"['neitinke', 'subake:e:i:tako']"
B.02.01,['akal']
MU.01.01,"['b', 'o ib', 'X X<: ibe -+o+e', 'oŕbiloske:-SSXX<:-', 'ŕike:X<X<:kukebuŕke :<', 'XX :+ śaneke:X<X<:leŕsge', '-eosdaŕke:><X<+', '+++tigiś++', '-o']"
V.06.002,"['ekesaer', 'eŕiarbam']"
A.10.11,"['', 'soanbibu', 'taki', 'ti', 'kekadu']"
A.10.12,['kakembaloutalou']
A.04.10,"['+', 'lu', 'taś len', '+']"
A.04.02,"['iŕiseret', 'ilaeŕi:isai', 'gudu : leisi:', '+ :leikta', 'beri:leiŕia', 'salir:iŕide :', 'setabeŕe :', '+: arnai']"
SP.01.08,['inbaa+litur']
A.04.09,"['aula', 'śan +ś', 'ig']"
A.09.05SUSPECTA,"['', 'śebiŕin:taubaśtetaś', 'tintileis:bantubailkunḿi', 'arbais:neban:kuniŕ', 'bantaśkalir:belśtaukui:aurelen', 'III I kekeerirtiban:kuteŕnaniśil', 'beŕenultiteś:kitei:autiriśa', 'nbali:toroś:balaukiakiŕe', 'abarbaśtanie:sonai', 'iumabeleś:talkuneu', 'baskiteierinuie']"
V.17.05,"['A:', 'bíśkíbí?rsetí:?ia:bineia', 'bisbíturbiWtín', 'B:', 'śntarlabí+nkoś:bí?rtuan:koikakiskítur', 'ebi?kora?', '']"
L.18.15LATINA,['RA']
L.18.07,['kuka']
TE.02.002,['aba']
TE.02.004,['aboki']
TE.02.005,['bars']
TE.02.006,['barta']
TE.02.007,['basku']
TE.02.008,['ita']
TE.02.009,['katuba']
TE.02.010,['kel']
TE.02.011,['kinaba']
TE.02.012,['kina']
TE.02.013,"['', 'kutui', 'u']"
TE.02.014,['seba']
TE.02.015,['barta']
TE.02.016,['ls']
TE.02.017,['ou']
TE.02.018a,['ś']
TE.02.019,['aba']
TE.02.020,['aboki']
TE.02.021,['aboki']
TE.02.022,['aboki']
TE.02.023,['aboki']
TE.02.024a,['te']
TE.02.025,['aike']
TE.02.026a,['ai']
TE.02.027a,['ai']
TE.02.028a,['ai']
TE.02.029a,['ai']
TE.02.030,['ai']
TE.02.031,['ai']
TE.02.032 = TE.02.028a?,['ai']
TE.02.033,['ai']
TE.02.034,['aka']
V.02.02,"['', 'aitusinká:a IIIIIII:', 'abaŕkéŕes:eŕeil', 'śeiar:bi', 'iteŕ:takan:', 'sisbibeiabin', 'a I:o I:ki I']"
TE.02.035,['aka']
TE.02.036,['aka']
TE.02.037,['aka']
TE.02.038,['akeku']
TE.02.039a,['ako']
TE.02.040a,['ta']
TE.02.041,['ako']
TE.02.042,['ako']
TE.02.043,['ako']
TE.02.044,['ako']
TE.02.045,['ako']
TE.02.046a,['aku']
TE.02.047,"['aku', '']"
TE.02.048,['al']
TE.02.049,['an']
TE.02.050,['ar']
TE.02.051,"['aŕ', '']"
TE.02.052,"['ass', '']"
TE.02.053,['as']
TE.02.054,['as']
TE.02.055,['aś']
TE.02.056,['ati']
TE.02.057,['ati']
TE.02.058,['atu']
TE.02.059,['au']
TE.02.062a,['babo']
TE.02.063a,['la']
TE.02.064a,['ir']
TE.02.065a,['balakertaŕ']
TE.02.066a,['tin']
TE.02.067,"['baśba', '']"
TE.02.068a,['ban']
TE.02.069,['ban']
TE.02.070,['ban']
TE.02.071,['ban']
TE.02.072,['ban']
TE.02.073,['bar']
TE.02.074a,['baŕ']
TE.02.075,['baŕ']
TE.02.076,['baski']
TE.02.077a,['bas']
TE.02.078a,['bas']
TE.02.079,['bas']
TE.02.080a,['baś']
TE.02.081,['baś']
TE.02.082a,['bata']
TE.02.083,['bata']
TE.02.084,['bateba']
TE.02.085a,['bateba']
TE.02.086a,['bateba']
TE.02.087,['bateba']
TE.02.088,['bateba']
TE.02.089a,['śo']
TE.02.090,['bati']
TE.02.091a,['bau']
TE.02.092,"['beka', '']"
TE.02.093a,['beko']
TE.02.094,"['beku', '']"
TE.02.095a,['bel']
TE.02.096,"['belu', '']"
TE.02.097,['bel']
TE.02.098,['beśu']
TE.02.099,['beta']
TE.02.100,"['beto', '']"
TE.02.101,['betuś']
TE.02.102a,['betu']
TE.02.105a,"['bibes', '']"
TE.02.106,['bil']
TE.02.107,['bil']
TE.02.108,['binen']
TE.02.109,['binen']
TE.02.111,['bin']
TE.02.112,"['+en', '']"
TE.02.113,['biu']
TE.02.114,['biu']
TE.02.115,['biu']
TE.02.116a,['teti']
